Cube Name,Title,Description,Category,Is Visible,Is Public,Measures Count,Dimensions Count,Segments Count,Key Business Purpose,Primary Use Cases,Connected To
Catalog,Catalog,"Catalog object information, used for data about specific items, modifiers, discounts, categories, etc.",Business Configuration,TRUE,TRUE,1,9,4,Product catalog management and item configuration,"Item setup, category management, discount configuration","ItemTransactions, ModifiersTransacted"
Channel,Channel,"Sales channel details. A sales channel represents where an order originated (IN-STORE, ONLINE, INVOICE, OTHER).",Business Configuration,TRUE,TRUE,1,8,2,Sales channel tracking and performance analysis,"Channel performance, omnichannel analysis","Orders, PaymentAndRefunds"
CustomerSnapshots,Customer Snapshots,"Contains information about the customer at the time of each order, like if it was their first purchase or if they were loyalty members.",Customer & Operations,TRUE,TRUE,9,7,0,Customer behavior analysis and segmentation,"New vs returning customers, loyalty analysis, customer lifetime value",Orders
Fees,Fees,Fees data for Payments and Refunds. Processing fees and transaction costs.,Core Transaction Data,TRUE,TRUE,2,16,0,Cost tracking and financial reconciliation,"Fee analysis, cost optimization, financial reporting",PaymentAndRefunds
ItemDiscountsAndComps,Item Discounts and Comps,"Represents discounts and comps applied to line items. Sold items have positive amounts, returned have negative amounts.",Item-Level Data,TRUE,TRUE,16,12,6,Discount effectiveness and promotional analysis,"Promotion performance, discount impact analysis, comp tracking","ItemTransactions, Orders"
ItemTransactions,Item Transactions,"Transaction data for line items, including sales and returns. Sold items have positive amounts, returned item have negative amounts.",Item-Level Data,TRUE,TRUE,22,10,2,Product performance and inventory analysis,"Top selling items, product performance, inventory management","Orders, Catalog"
Location,Location,"Location (unit) information including location name, timezone, and status.",Business Configuration,TRUE,TRUE,1,5,0,Multi-location business management,"Location performance comparison, operational management","Orders, PaymentAndRefunds, ItemTransactions"
ModifiersTransacted,Modifiers Transacted,"Transaction data for modifiers, including sales and returns. Sold items have positive amounts, returned item have negative amounts.",Item-Level Data,TRUE,TRUE,12,14,2,Add-on and customization analysis,"Modifier popularity, upselling analysis, customization trends","ItemTransactions, Catalog"
Orders,Orders,"Top level Order data (sales and returns), like top line product sales, net sales, etc. that you would see in something like a Sales Summary report.",Core Transaction Data,TRUE,TRUE,16,18,0,Primary sales performance tracking,"Sales summary, revenue analysis, business performance dashboard",All other cubes
OrdersLive,Orders Live,"Real-time order data from OpenSearch. By default, this cube returns all orders, including draft, closed, failed, canceled, fraud, and no sale orders.",Core Transaction Data,TRUE,TRUE,16,16,1,Real-time business monitoring,"Live dashboards, real-time alerts, operational monitoring",Orders (real-time version)
PaymentAndRefunds,Payment and Refunds,"Top level Payments and Refunds data, including itemized payment amounts and tip amounts.",Core Transaction Data,TRUE,TRUE,5,28,2,Payment processing and method analysis,"Payment method performance, refund analysis, tip tracking","Orders, Fees"
Voids,Voids,"Void transactions representing canceled or voided line items in orders. Tracks void operations with attribution, reasons, and item-level details.",Customer & Operations,TRUE,TRUE,4,20,0,Operational efficiency and loss tracking,"Void analysis, staff performance, operational improvements","Orders, ItemTransactions"
